KPI,Unit,Platform,Target,Threshold,Owner,Source,"Dec, 2024","Jan, 2025","Feb, 2025","Mar, 2025","Apr, 2025","May, 2025","Jun, 2025","Jul, 2025","Aug, 2025","Sep, 2025","Oct, 2025","Nov, 2025","Dec, 2025","Jan, 2026",
Crash Free Rate (month wise data),%,Android,99.75,99.5,Trushal,Firebase,99.47,99.43,99.25,99.46,99.55,99.5,99.44,99.23,99.29,98.96,99.63,99.55,99.51,99.71,Usabilla + Cricket scorecard crash impacting it. some fixes are part of Sp124 build. 
Crash Free Rate (month wise data),%,Android TV,99.75,99.5,Ashok,Firebase,99.65,99.73,99.7,99.43,99.55,99.8,99.8,99.88,99.89,99.65,99.95,99.95,99.96,99.88,
Crash Free Rate (month wise data),%,iOS,99.75,99.5,Rahul,Firebase,99.35,99.62,99.67,99.78,99.84,99.87,99.86,99.75,99.59,97.45,99.49,98.37,98.34,98.09,
Crash Free Rate (month wise data),%,Apple TV,99.75,99.5,Senthil,Firebase,98.6,98.76,99.18,99.23,99.29,99.36,99.35,98.85,98.93,99.02,98.94,99.07,98.99,97.81,
ANR,%,Android,0.5,1,Trushal,Play store,0.4,0.38,0.32,0.3,0.28,0.29,0.33,0.36,0.58,0.77,0.38,0.32,0.33,0.33,
ANR,%,Android TV,0.5,1,Ashok,Play store,1.39,,0.82,1.06,0.92,0.82,0.85,0.91,1.2,1.37,1.11,1.14,0.97,1.41,
Slow rendering,%,Android,2,2,Trushal,Play store,6.63,5.1,4.91,5.84,4.68,4.23,2.79,2.44,1.88,4.04,3.99,2.42,2.62,3.18,
Slow rendering,%,Android TV,2,2,Ashok,Play store,0.55,0.55,1.12,0.72,1.05,1.4,1.49,2.78,3.51,11.47,6.5,6.53,6.36,6.18,
Frozen Frames,%,Android,15,20,Trushal,Play store,23.46,19.63,20.2,24.6,24.26,23.04,19.12,13.89,15.48,23.6,18.32,16.17,17.09,17.26,For Latest app it is 13.39%
Frozen Frames,%,Android TV,45,45,Ashok,Play store,70.9,70.92,69.39,72.48,66.71,60%,57.28,66.42,75.59,72.72,68.68,65.37,66.71,70.85,
Cold app startup,%,Android,2,5,Trushal,Play store,4.71,2.21,3,2.87,2.7,2.75,3.57,3.18,3.54,5.62,3.2,3.35,3.27,3.78,Peer median : 4.73%
Cold app startup,%,Android TV,7,7,Ashok,Play store,,14.4,11.5,13.02,11.32,10.8,12.4,13.72,16.67,20.21,14.47,15.01,15.07,17.69%,
